FAOSTAT 2013,,,,,
Elements Ê,,Areas Ê,,Items Ê,2009
French Guiana,69,Political stability and absence of violence/terrorism (index),21032,"0.32, index ()",
Value (index),,,,,
French Polynesia,70,Political stability and absence of violence/terrorism (index),21032,"0.32, index ()",
Value (index),,,,,
Gabon,74,Political stability and absence of violence/terrorism (index),21032,"0.11, index ()",
Value (index),,,,,
Gambia,75,Political stability and absence of violence/terrorism (index),21032,"0.15, index ()",
Value (index),,,,,
Georgia,73,Political stability and absence of violence/terrorism (index),21032,"-0.96, index ()",
Value (index),,,,,
Germany,79,Political stability and absence of violence/terrorism (index),21032,"0.86, index ()",
Value (index),,,,,
Ghana,81,Political stability and absence of violence/terrorism (index),21032,"0.03, index ()",
Value (index),,,,,
Greece,84,Political stability and absence of violence/terrorism (index),21032,"-0.18, index ()",
Value (index),,,,,
Greenland,85,Political stability and absence of violence/terrorism (index),21032,"1.52, index ()",
Value (index),,,,,
Grenada,86,Political stability and absence of violence/terrorism (index),21032,"0.39, index ()",
Value (index),,,,,
Guam,88,Political stability and absence of violence/terrorism (index),21032,"0.42, index ()",
Value (index),,,,,
Guatemala,89,Political stability and absence of violence/terrorism (index),21032,"-0.84, index ()",
Value (index),,,,,
Guinea-Bissau,175,Political stability and absence of violence/terrorism (index),21032,"-0.65, index ()",
Value (index),,,,,
Guinea,90,Political stability and absence of violence/terrorism (index),21032,"-2.09, index ()",
Value (index),,,,,
Guyana,91,Political stability and absence of violence/terrorism (index),21032,"-0.62, index ()",
Value (index),,,,,
Haiti,93,Political stability and absence of violence/terrorism (index),21032,"-0.95, index ()",
Value (index),,,,,
Honduras,95,Political stability and absence of violence/terrorism (index),21032,"-0.29, index ()",
Value (index),,,,,
Hungary,97,Political stability and absence of violence/terrorism (index),21032,"0.55, index ()",
Value (index),,,,,
Iceland,99,Political stability and absence of violence/terrorism (index),21032,"1.18, index ()",
Value (index),,,,,
India,100,Political stability and absence of violence/terrorism (index),21032,"-1.40, index ()",
Value (index),,,,,
Indonesia,101,Political stability and absence of violence/terrorism (index),21032,"-0.76, index ()",
Value (index),,,,,
Iran (Islamic Republic of),102,Political stability and absence of violence/terrorism (index),21032,"-1.52, index ()",
Value (index),,,,,
Iraq,103,Political stability and absence of violence/terrorism (index),21032,"-2.18, index ()",
Value (index),,,,,
Ireland,104,Political stability and absence of violence/terrorism (index),21032,"1.03, index ()",
Value (index),,,,,
Israel,105,Political stability and absence of violence/terrorism (index),21032,"-1.70, index ()",
Value (index),,,,,
Italy,106,Political stability and absence of violence/terrorism (index),21032,"0.39, index ()",
Value (index),,,,,
Jamaica,109,Political stability and absence of violence/terrorism (index),21032,"-0.34, index ()",
Value (index),,,,,
Japan,110,Political stability and absence of violence/terrorism (index),21032,"0.92, index ()",
Value (index),,,,,
Jordan,112,Political stability and absence of violence/terrorism (index),21032,"-0.31, index ()",
Value (index),,,,,
Kazakhstan,108,Political stability and absence of violence/terrorism (index),21032,"0.73, index ()",
Value (index),,,,,
Kenya,114,Political stability and absence of violence/terrorism (index),21032,"-1.44, index ()",
Value (index),,,,,
Kiribati,83,Political stability and absence of violence/terrorism (index),21032,"1.44, index ()",
Value (index),,,,,
Kuwait,118,Political stability and absence of violence/terrorism (index),21032,"0.34, index ()",
Value (index),,,,,
Kyrgyzstan,113,Political stability and absence of violence/terrorism (index),21032,"-0.64, index ()",
Value (index),,,,,
Lao People s Democratic Republic,120,Political stability and absence of violence/terrorism (index),21032,"-0.13, index ()",
Value (index),,,,,
Latvia,119,Political stability and absence of violence/terrorism (index),21032,"0.35, index ()",
Value (index),,,,,
Lebanon,121,Political stability and absence of violence/terrorism (index),21032,"-1.51, index ()",
Value (index),,,,,
Lesotho,122,Political stability and absence of violence/terrorism (index),21032,"0.33, index ()",
Value (index),,,,,
Liberia,123,Political stability and absence of violence/terrorism (index),21032,"-1.06, index ()",
Value (index),,,,,
Libya,124,Political stability and absence of violence/terrorism (index),21032,"0.73, index ()",
Value (index),,,,,
Liechtenstein,125,Political stability and absence of violence/terrorism (index),21032,"1.57, index ()",
Value (index),,,,,
Lithuania,126,Political stability and absence of violence/terrorism (index),21032,"0.60, index ()",
Value (index),,,,,
Luxembourg,256,Political stability and absence of violence/terrorism (index),21032,"1.43, index ()",
Value (index),,,,,
Madagascar,129,Political stability and absence of violence/terrorism (index),21032,"-0.82, index ()",
Value (index),,,,,
Malawi,130,Political stability and absence of violence/terrorism (index),21032,"0.05, index ()",
Value (index),,,,,
Malaysia,131,Political stability and absence of violence/terrorism (index),21032,"-0.04, index ()",
Value (index),,,,,
Maldives,132,Political stability and absence of violence/terrorism (index),21032,"-0.21, index ()",
Value (index),,,,,
Mali,133,Political stability and absence of violence/terrorism (index),21032,"-0.16, index ()",
Value (index),,,,,
Malta,134,Political stability and absence of violence/terrorism (index),21032,"1.14, index ()",
Value (index),,,,,
Marshall Islands,127,Political stability and absence of violence/terrorism (index),21032,"1.46, index ()",
Value (index),,,,,
Martinique,135,Political stability and absence of violence/terrorism (index),21032,"0.42, index ()",
Value (index),,,,,
Mauritania,136,Political stability and absence of violence/terrorism (index),21032,"-1.04, index ()",
Value (index),,,,,
Mauritius,137,Political stability and absence of violence/terrorism (index),21032,"0.62, index ()",
Value (index),,,,,
Mexico,138,Political stability and absence of violence/terrorism (index),21032,"-0.74, index ()",
Value (index),,,,,
Micronesia (Federated States of),145,Political stability and absence of violence/terrorism (index),21032,"1.33, index ()",
Value (index),,,,,
Monaco,140,Political stability and absence of violence/terrorism (index),21032,"1.01, index ()",
Value (index),,,,,
Mongolia,141,Political stability and absence of violence/terrorism (index),21032,"0.53, index ()",
Value (index),,,,,
Montenegro,273,Political stability and absence of violence/terrorism (index),21032,"0.81, index ()",
Value (index),,,,,
Morocco,143,Political stability and absence of violence/terrorism (index),21032,"-0.53, index ()",
Value (index),,,,,
Mozambique,144,Political stability and absence of violence/terrorism (index),21032,"0.56, index ()",
Value (index),,,,,
Myanmar,28,Political stability and absence of violence/terrorism (index),21032,"-1.29, index ()",
Value (index),,,,,
Namibia,147,Political stability and absence of violence/terrorism (index),21032,"0.85, index ()",
Value (index),,,,,
Nauru,148,Political stability and absence of violence/terrorism (index),21032,"1.46, index ()",
Value (index),,,,,
Nepal,149,Political stability and absence of violence/terrorism (index),21032,"-1.66, index ()",
Value (index),,,,,
Netherlands Antilles,151,Political stability and absence of violence/terrorism (index),21032,"0.92, index ()",
Value (index),,,,,
Netherlands,150,Political stability and absence of violence/terrorism (index),21032,"0.93, index ()",
Value (index),,,,,
New Zealand,156,Political stability and absence of violence/terrorism (index),21032,"0.98, index ()",
Value (index),,,,,
Nicaragua,157,Political stability and absence of violence/terrorism (index),21032,"-0.45, index ()",
Value (index),,,,,
Niger,158,Political stability and absence of violence/terrorism (index),21032,"-1.11, index ()",
Value (index),,,,,
Nigeria,159,Political stability and absence of violence/terrorism (index),21032,"-1.85, index ()",
Value (index),,,,,
Niue,160,Political stability and absence of violence/terrorism (index),21032,"1.28, index ()",
Value (index),,,,,
Norway,162,Political stability and absence of violence/terrorism (index),21032,"1.25, index ()",
Value (index),,,,,
Occupied Palestinian Territory,299,Political stability and absence of violence/terrorism (index),21032,"-2.03, index ()",
Value (index),,,,,
Oman,221,Political stability and absence of violence/terrorism (index),21032,"0.82, index ()",
Value (index),,,,,
Pakistan,165,Political stability and absence of violence/terrorism (index),21032,"-2.69, index ()",
Value (index),,,,,
Palau,180,Political stability and absence of violence/terrorism (index),21032,"1.46, index ()",
Value (index),,,,,
Panama,166,Political stability and absence of violence/terrorism (index),21032,"0.07, index ()",
Value (index),,,,,
Papua New Guinea,168,Political stability and absence of violence/terrorism (index),21032,"-0.82, index ()",
Value (index),,,,,
Paraguay,169,Political stability and absence of violence/terrorism (index),21032,"-0.97, index ()",
Value (index),,,,,
Peru,170,Political stability and absence of violence/terrorism (index),21032,"-1.06, index ()",
Value (index),,,,,
Philippines,171,Political stability and absence of violence/terrorism (index),21032,"-1.64, index ()",
Value (index),,,,,
Poland,173,Political stability and absence of violence/terrorism (index),21032,"0.92, index ()",
Value (index),,,,,
Portugal,174,Political stability and absence of violence/terrorism (index),21032,"0.79, index ()",
Value (index),,,,,
Puerto Rico,177,Political stability and absence of violence/terrorism (index),21032,"0.18, index ()",
Value (index),,,,,
Qatar,179,Political stability and absence of violence/terrorism (index),21032,"1.18, index ()",
Value (index),,,,,
Republic of Korea,117,Political stability and absence of violence/terrorism (index),21032,"0.19, index ()",
Value (index),,,,,
Republic of Moldova,146,Political stability and absence of violence/terrorism (index),21032,"-0.60, index ()",
Value (index),,,,,
Romania,183,Political stability and absence of violence/terrorism (index),21032,"0.36, index ()",
Value (index),,,,,
Russian Federation,185,Political stability and absence of violence/terrorism (index),21032,"-0.92, index ()",
Value (index),,,,,
Rwanda,184,Political stability and absence of violence/terrorism (index),21032,"-0.47, index ()",
Value (index),,,,,
RŽunion,182,Political stability and absence of violence/terrorism (index),21032,"0.42, index ()",
Value (index),,,,,
Saint Kitts and Nevis,188,Political stability and absence of violence/terrorism (index),21032,"1.13, index ()",
Value (index),,,,,
Saint Lucia,189,Political stability and absence of violence/terrorism (index),21032,"0.74, index ()",
Value (index),,,,,
Saint Vincent and the Grenadines,191,Political stability and absence of violence/terrorism (index),21032,"0.79, index ()",
Value (index),,,,,
Samoa,244,Political stability and absence of violence/terrorism (index),21032,"0.97, index ()",
Value (index),,,,,
San Marino,192,Political stability and absence of violence/terrorism (index),21032,"1.46, index ()",
Value (index),,,,,
Sao Tome and Principe,193,Political stability and absence of violence/terrorism (index),21032,"0.15, index ()",
Value (index),,,,,
Saudi Arabia,194,Political stability and absence of violence/terrorism (index),21032,"-0.45, index ()",
Value (index),,,,,
Senegal,195,Political stability and absence of violence/terrorism (index),21032,"-0.16, index ()",
Value (index),,,,,
Serbia,272,Political stability and absence of violence/terrorism (index),21032,"-0.52, index ()",
Value (index),,,,,
Seychelles,196,Political stability and absence of violence/terrorism (index),21032,"0.62, index ()",
Value (index),,,,,
Sierra Leone,197,Political stability and absence of violence/terrorism (index),21032,"-0.29, index ()",
Value (index),,,,,
Singapore,200,Political stability and absence of violence/terrorism (index),21032,"1.16, index ()",
Value (index),,,,,
Slovakia,199,Political stability and absence of violence/terrorism (index),21032,"0.90, index ()",
Value (index),,,,,
Slovenia,198,Political stability and absence of violence/terrorism (index),21032,"0.88, index ()",
Value (index),,,,,
Solomon Islands,25,Political stability and absence of violence/terrorism (index),21032,"0.25, index ()",
Value (index),,,,,
Somalia,201,Political stability and absence of violence/terrorism (index),21032,"-3.32, index ()",
Value (index),,,,,
South Africa,202,Political stability and absence of violence/terrorism (index),21032,"-0.11, index ()",
Value (index),,,,,
Spain,203,Political stability and absence of violence/terrorism (index),21032,"-0.33, index ()",
Value (index),,,,,
Sri Lanka,38,Political stability and absence of violence/terrorism (index),21032,"-1.16, index ()",
Value (index),,,,,
Sudan (former),206,Political stability and absence of violence/terrorism (index),21032,"-2.68, index ()",
Value (index),,,,,
Suriname,207,Political stability and absence of violence/terrorism (index),21032,"0.14, index ()",
Value (index),,,,,
Swaziland,209,Political stability and absence of violence/terrorism (index),21032,,
Value (index),,,,,
Sweden,210,Political stability and absence of violence/terrorism (index),21032,"1.08, index ()",
Value (index),,,,,
Switzerland,211,Political stability and absence of violence/terrorism (index),21032,"1.28, index ()",
Value (index),,,,,
Syrian Arab Republic,212,Political stability and absence of violence/terrorism (index),21032,"-0.51, index ()",
Value (index),,,,,
Tajikistan,208,Political stability and absence of violence/terrorism (index),21032,"-1.01, index ()",
Value (index),,,,,
Thailand,216,Political stability and absence of violence/terrorism (index),21032,"-1.26, index ()",
Value (index),,,,,
The former Yugoslav Republic of Macedonia,154,Political stability and absence of violence/terrorism (index),21032,"-0.29, index ()",
Value (index),,,,,
Timor-Leste,176,Political stability and absence of violence/terrorism (index),21032,"-0.58, index ()",
Value (index),,,,,
Togo,217,Political stability and absence of violence/terrorism (index),21032,"-0.18, index ()",
Value (index),,,,,
Tonga,219,Political stability and absence of violence/terrorism (index),21032,"0.25, index ()",
Value (index),,,,,
Trinidad and Tobago,220,Political stability and absence of violence/terrorism (index),21032,"-0.13, index ()",
Value (index),,,,,
Tunisia,222,Political stability and absence of violence/terrorism (index),21032,"0.20, index ()",
Value (index),,,,,
Turkey,223,Political stability and absence of violence/terrorism (index),21032,"-1.06, index ()",
Value (index),,,,,
Turkmenistan,213,Political stability and absence of violence/terrorism (index),21032,"0.43, index ()",
Value (index),,,,,
Tuvalu,227,Political stability and absence of violence/terrorism (index),21032,"1.44, index ()",
Value (index),,,,,
Uganda,226,Political stability and absence of violence/terrorism (index),21032,"-1.10, index ()",
Value (index),,,,,
Ukraine,230,Political stability and absence of violence/terrorism (index),21032,"-0.37, index ()",
Value (index),,,,,
United Arab Emirates,225,Political stability and absence of violence/terrorism (index),21032,"0.94, index ()",
Value (index),,,,,
United Kingdom,229,Political stability and absence of violence/terrorism (index),21032,"0.16, index ()",
Value (index),,,,,
United Republic of Tanzania,215,Political stability and absence of violence/terrorism (index),21032,"0.06, index ()",
Value (index),,,,,
United States Virgin Islands,240,Political stability and absence of violence/terrorism (index),21032,"-0.12, index ()",
Value (index),,,,,
United States of America,231,Political stability and absence of violence/terrorism (index),21032,"0.34, index ()",
Value (index),,,,,
Uruguay,234,Political stability and absence of violence/terrorism (index),21032,"0.80, index ()",
Value (index),,,,,
Uzbekistan,235,Political stability and absence of violence/terrorism (index),21032,"-1.00, index ()",
Value (index),,,,,
Vanuatu,155,Political stability and absence of violence/terrorism (index),21032,"1.27, index ()",
Value (index),,,,,
Venezuela (Bolivarian Republic of),236,Political stability and absence of violence/terrorism (index),21032,"-1.42, index ()",
Value (index),,,,,
Viet Nam,237,Political stability and absence of violence/terrorism (index),21032,"0.26, index ()",
Value (index),,,,,
Yemen,249,Political stability and absence of violence/terrorism (index),21032,"-2.21, index ()",
Value (index),,,,,
Zambia,251,Political stability and absence of violence/terrorism (index),21032,"0.56, index ()",
Value (index),,,,,
Zimbabwe,181,Political stability and absence of violence/terrorism (index),21032,"-1.23, index ()",
Value (kcal/capita/day),,,,,
Value (kcal/capita/day),,Value (kcal/capita/day),,,
Value (kcal/capita/day),,,,,
Afghanistan,2,Per capita food supply variability (kcal/capita/day),21031,"15.10, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Albania,3,Per capita food supply variability (kcal/capita/day),21031,"40.29, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Algeria,4,Per capita food supply variability (kcal/capita/day),21031,"27.94, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Angola,7,Per capita food supply variability (kcal/capita/day),21031,"26.81, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Antigua and Barbuda,8,Per capita food supply variability (kcal/capita/day),21031,"52.10, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Argentina,9,Per capita food supply variability (kcal/capita/day),21031,"37.61, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Armenia,1,Per capita food supply variability (kcal/capita/day),21031,"29.39, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Australia,10,Per capita food supply variability (kcal/capita/day),21031,"28.59, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Austria,11,Per capita food supply variability (kcal/capita/day),21031,"51.70, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Azerbaijan,52,Per capita food supply variability (kcal/capita/day),21031,"68.85, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Bahamas,12,Per capita food supply variability (kcal/capita/day),21031,"13.25, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Bangladesh,16,Per capita food supply variability (kcal/capita/day),21031,"22.29, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Barbados,14,Per capita food supply variability (kcal/capita/day),21031,"58.78, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Belarus,57,Per capita food supply variability (kcal/capita/day),21031,"75.65, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Belgium,255,Per capita food supply variability (kcal/capita/day),21031,"21.65, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Belize,23,Per capita food supply variability (kcal/capita/day),21031,"39.31, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Benin,53,Per capita food supply variability (kcal/capita/day),21031,"15.53, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Bermuda,17,Per capita food supply variability (kcal/capita/day),21031,"49.07, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Bolivia (Plurinational State of),19,Per capita food supply variability (kcal/capita/day),21031,"20.55, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Bosnia and Herzegovina,80,Per capita food supply variability (kcal/capita/day),21031,"44.13, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Botswana,20,Per capita food supply variability (kcal/capita/day),21031,"22.25, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Brazil,21,Per capita food supply variability (kcal/capita/day),21031,"27.73, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Brunei Darussalam,26,Per capita food supply variability (kcal/capita/day),21031,"73.39, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Bulgaria,27,Per capita food supply variability (kcal/capita/day),21031,"26.90, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Burkina Faso,233,Per capita food supply variability (kcal/capita/day),21031,"25.49, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Burundi,29,Per capita food supply variability (kcal/capita/day),21031,"17.10, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Cabo Verde,35,Per capita food supply variability (kcal/capita/day),21031,"13.71, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Cambodia,115,Per capita food supply variability (kcal/capita/day),21031,"34.22, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Cameroon,32,Per capita food supply variability (kcal/capita/day),21031,"15.49, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Canada,33,Per capita food supply variability (kcal/capita/day),21031,"14.91, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Central African Republic,37,Per capita food supply variability (kcal/capita/day),21031,"15.26, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Chad,39,Per capita food supply variability (kcal/capita/day),21031,"5.45, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Chile,40,Per capita food supply variability (kcal/capita/day),21031,"29.67, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
"China, Taiwan Province of",214,Per capita food supply variability (kcal/capita/day),21031,"20.10, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
China,351,Per capita food supply variability (kcal/capita/day),21031,"14.01, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Colombia,44,Per capita food supply variability (kcal/capita/day),21031,"19.52, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Comoros,45,Per capita food supply variability (kcal/capita/day),21031,"24.19, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Congo,46,Per capita food supply variability (kcal/capita/day),21031,"51.03, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Costa Rica,48,Per capita food supply variability (kcal/capita/day),21031,"35.23, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Croatia,98,Per capita food supply variability (kcal/capita/day),21031,"46.86, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Cuba,49,Per capita food supply variability (kcal/capita/day),21031,"82.38, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Cyprus,50,Per capita food supply variability (kcal/capita/day),21031,"36.56, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Czech Republic,167,Per capita food supply variability (kcal/capita/day),21031,"61.02, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
C™te d Ivoire,107,Per capita food supply variability (kcal/capita/day),21031,"23.92, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Democratic People s Republic of Korea,116,Per capita food supply variability (kcal/capita/day),21031,"30.45, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Democratic Republic of the Congo,250,Per capita food supply variability (kcal/capita/day),21031,"11.63, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Denmark,54,Per capita food supply variability (kcal/capita/day),21031,"19.82, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Djibouti,72,Per capita food supply variability (kcal/capita/day),21031,"25.54, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Dominica,55,Per capita food supply variability (kcal/capita/day),21031,"32.73, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Dominican Republic,56,Per capita food supply variability (kcal/capita/day),21031,"39.72, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Ecuador,58,Per capita food supply variability (kcal/capita/day),21031,"19.75, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Egypt,59,Per capita food supply variability (kcal/capita/day),21031,"57.68, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
El Salvador,60,Per capita food supply variability (kcal/capita/day),21031,"4.27, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Eritrea,178,Per capita food supply variability (kcal/capita/day),21031,"16.78, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
